"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/3/2024","10/3/2024","10/4/2024","","ACH Deposit","ACH","","","$200.00"
"10/2/2024","10/2/2024","10/3/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.114582","$261.82","($30.00)"
"10/1/2024","10/1/2024","10/1/2024","VOO","Cash Div: R/D 2024-09-27 P/D 2024-10-01 - 50.408054 shares at 1.6386","CDIV","","","$82.60"
"9/30/2024","9/30/2024","10/1/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.361903","$525.00","($190.00)"
"9/30/2024","9/30/2024","10/1/2024","","ACH Deposit","ACH","","","$190.00"
"9/27/2024","9/27/2024","9/27/2024","QQQM","Cash Div: R/D 2024-09-23 P/D 2024-09-27 - 96.75215 shares at 0.29987","CDIV","","","$29.01"
"9/26/2024","9/26/2024","9/26/2024","META","Cash Div: R/D 2024-09-16 P/D 2024-09-26 - 3 shares at 0.5","CDIV","","","$1.50"
"9/26/2024","9/26/2024","9/27/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.947111","$200.61","($190.00)"
"9/26/2024","9/26/2024","9/27/2024","","ACH Deposit","ACH","","","$190.00"
"9/25/2024","9/25/2024","9/26/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.116157","$258.27","($30.00)"
"9/23/2024","9/23/2024","9/24/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.361959","$524.92","($190.00)"
"9/23/2024","9/23/2024","9/24/2024","","ACH Deposit","ACH","","","$190.00"
"9/19/2024","9/19/2024","9/20/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.951093","$199.77","($190.00)"
"9/19/2024","9/19/2024","9/20/2024","","ACH Deposit","ACH","","","$190.00"
"9/18/2024","9/18/2024","9/19/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.111053","$270.14","($30.00)"
